strategy_name,timeframe,direction,max_holding_bars,total_signals,suggested_stop_loss_atr,suggested_take_profit_atr,trend_potential_score,p75_mae_atr,p90_mfe_atr,reached_5r_rate,reached_8r_rate,average_close_pnl_at_horizon_atr,median_bars_to_mfe,notes
donchian_55,H1,long,72,2459,5.0,12.0,9.764,6.737781623637175,11.847265971595778,0.45180967873119154,0.23464823098820659,0.719764360718637,37.0,strong trend potential; wide stop needed
donchian_55,H1,long,120,2456,5.0,16.0,13.689,8.77115171138055,15.847609495754806,0.5745114006514658,0.3745928338762215,1.0336112817685503,59.0,strong trend potential; wide stop needed
donchian_55,H1,long,240,2454,5.0,20.0,23.332,12.957959178841403,26.284309639898904,0.6960065199674002,0.5509372453137734,1.9582458874197572,126.0,strong trend potential; wide stop needed
donchian_55,H1,long,480,2451,5.0,20.0,42.81,17.58599225007236,43.789566450803086,0.7890656874745002,0.6748266013871889,4.700444095651655,247.0,strong trend potential; wide stop needed
donchian_55,H1,short,24,1589,3.5,6.0,3.224,3.564507404173308,5.8779194507844625,0.1485210824417873,0.04782882315921964,0.014729689539434723,9.0,wide stop needed
donchian_55,H1,short,48,1585,5.0,8.0,4.149,5.1176216324057675,7.970869175014711,0.25110410094637226,0.09905362776025237,-0.15173582151444523,20.0,strong trend potential; wide stop needed
donchian_55,H1,short,72,1583,5.0,10.0,5.699,6.380272780053934,9.764568169865612,0.36197094125078966,0.16803537586860393,-0.07077082239389518,30.0,strong trend potential; wide stop needed
donchian_55,H1,short,120,1583,5.0,13.5,8.317,8.502850234760707,13.65304672945924,0.46430827542640557,0.28427037271004424,-0.19821080027754565,54.0,strong trend potential; wide stop needed
donchian_55,H1,short,240,1571,5.0,17.5,5.862,13.02030365080165,17.58643544718641,0.5957988542329726,0.4156588160407384,-1.7904044600933804,92.0,strong trend potential; wide stop needed
donchian_55,H1,short,480,1562,5.0,20.0,3.918,19.176157501557118,25.18335049060141,0.6728553137003841,0.5179257362355953,-3.9443204617308276,144.0,strong trend potential; wide stop needed; short holding preferred
donchian_55,H4,long,12,815,2.5,5.0,3.37,2.707613605497803,4.828883115402742,0.08834355828220859,0.025766871165644172,0.3705804985643162,6.0,wide stop needed
donchian_55,H4,long,24,815,4.0,8.0,7.148,3.793298245030835,8.19411698905429,0.23558282208588957,0.10184049079754601,0.5968003136065024,12.0,strong trend potential; wide stop needed
donchian_55,H4,long,48,815,5.0,12.0,11.3,5.551977303744314,11.980452231596882,0.4233128834355828,0.2085889570552147,0.9634786833145155,25.0,strong trend potential; wide stop needed
donchian_55,H4,long,72,815,5.0,16.0,16.464,6.929141430712441,16.179283507424817,0.5030674846625767,0.3116564417177914,1.665925271639843,36.0,strong trend potential; wide stop needed
donchian_55,H4,long,120,815,5.0,20.0,23.672,9.206333973518312,22.714661825842075,0.6134969325153374,0.4368098159509202,2.5445334558528,63.0,strong trend potential; wide stop needed
donchian_55,H4,long,240,815,5.0,20.0,39.71,11.237982912269612,33.465511906428965,0.7349693251533742,0.5828220858895705,5.522941605165819,130.0,strong trend potential; wide stop needed
donchian_55,H4,short,12,431,2.5,3.5,0.932,2.6423825779320977,3.705789913639718,0.05336426914153132,0.01160092807424594,-0.20726021210382858,5.0,wide stop needed
donchian_55,H4,short,24,431,4.0,6.0,2.451,3.942999158481909,6.005379551719121,0.11832946635730858,0.05568445475638051,-0.20921141875074264,10.0,wide stop needed
donchian_55,H4,short,48,429,5.0,7.0,0.656,5.497612102243941,7.025512958822003,0.1864801864801865,0.08158508158508158,-1.0536100863773779,18.0,strong trend potential; wide stop needed
donchian_55,H4,short,72,422,5.0,8.5,-0.561,7.336732057116251,8.707482915451184,0.2796208530805687,0.12085308056872038,-1.8874421602045042,22.5,strong trend potential; wide stop needed; short holding preferred
donchian_55,H4,short,120,420,5.0,11.0,-2.693,10.21050132459438,11.039933846612467,0.3547619047619048,0.23333333333333334,-3.170703015205714,26.0,strong trend potential; wide stop needed; short holding preferred
donchian_55,H4,short,240,416,5.0,15.5,-3.753,16.035928090804425,15.370255511062968,0.46875,0.3485576923076923,-3.526712246566859,51.0,strong trend potential; wide stop needed; short holding preferred
donchian_80,H1,long,24,2085,4.0,6.5,4.808,3.790294660272595,6.647060728994061,0.2,0.06282973621103118,0.38723470874950777,12.0,wide stop needed
donchian_80,H1,long,48,2085,5.0,9.5,7.471,5.536928565269754,9.459539688181945,0.3606714628297362,0.1539568345323741,0.5910146468635493,24.0,strong trend potential; wide stop needed
donchian_80,H1,long,72,2084,5.0,12.0,10.201,6.693215549681888,12.042071665053948,0.46017274472168906,0.24280230326295585,0.7773936945794951,37.0,strong trend potential; wide stop needed
donchian_80,H1,long,120,2082,5.0,16.0,14.041,8.877790355060544,16.012765611379855,0.5845341018251681,0.38472622478386165,1.129932604132056,59.0,strong trend potential; wide stop needed
donchian_80,H1,long,240,2082,5.0,20.0,24.41,12.957553000896475,27.050915989940492,0.7046109510086456,0.5523535062439962,2.0919895066062897,124.5,strong trend potential; wide stop needed
donchian_80,H1,long,480,2080,5.0,20.0,43.644,17.54330759412001,44.44329353991758,0.7923076923076923,0.6740384615384616,4.76503642237691,244.5,strong trend potential; wide stop needed
donchian_80,H1,short,24,1275,3.5,6.0,3.345,3.5388591888051,5.914133022416724,0.14745098039215687,0.05411764705882353,0.02758793045354072,9.0,wide stop needed
